Record Length,200,Source,CH1
Sample Interval,CH1:0.0000000800000,Second,Volt
Vertical Units,CH1:V,-0.00000744,12.4
Vertical Scale,CH1:10.00,-0.00000736,12
Vertical Offset,CH1:0.00,-0.00000728,11.6
Horizontal Units,s,-0.0000072,12
Horizontal Scale,0.00005,-0.00000712,12.4
Model Number,SDS1052DL+,-0.00000704,12
Serial Number,SDS1MGDQ4R2387,-0.00000696,12
Software Version,6.02.01.10R2,-0.00000688,12
,,-0.0000068,11.6
,,-0.00000672,12
,,-0.00000664,11.6
,,-0.00000656,12
,,-0.00000648,12
,,-0.0000064,12
,,-0.00000632,12.8
,,-0.00000624,12
,,-0.00000616,12.4
,,-0.00000608,12
,,-0.000006,11.6
,,-0.00000592,12
,,-0.00000584,12.4
,,-0.00000576,12
,,-0.00000568,12.4
,,-0.0000056,12
,,-0.00000552,12
,,-0.00000544,12
,,-0.00000536,12
,,-0.00000528,12.4
,,-0.0000052,12
,,-0.00000512,11.6
,,-0.00000504,12
,,-0.00000496,12.4
,,-0.00000488,12
,,-0.0000048,11.6
,,-0.00000472,12
,,-0.00000464,11.6
,,-0.00000456,12
,,-0.00000448,11.6
,,-0.0000044,12
,,-0.00000432,12.4
,,-0.00000424,12
,,-0.00000416,11.6
,,-0.00000408,12
,,-0.000004,11.6
,,-0.00000392,12
,,-0.00000384,12.4
,,-0.00000376,12
,,-0.00000368,12
,,-0.0000036,12.4
,,-0.00000352,12
,,-0.00000344,11.6
,,-0.00000336,11.6
,,-0.00000328,12
,,-0.0000032,12.4
,,-0.00000312,11.6
,,-0.00000304,12
,,-0.00000296,12
,,-0.00000288,12
,,-0.0000028,12.8
,,-0.00000272,12
,,-0.00000264,11.6
,,-0.00000256,12
,,-0.00000248,12.4
,,-0.0000024,12
,,-0.00000232,12.4
,,-0.00000224,12
,,-0.00000216,12
,,-0.00000208,12
,,-0.000002,12
,,-0.00000192,12.4
,,-0.00000184,11.6
,,-0.00000176,12
,,-0.00000168,12.4
,,-0.0000016,12.4
,,-0.00000152,12
,,-0.00000144,11.6
,,-0.00000136,12
,,-0.00000128,11.6
,,-0.0000012,12
,,-0.00000112,11.6
,,-0.00000104,11.2
,,-0.00000096,10.8
,,-0.00000088,10.8
,,-0.0000008,10.4
,,-0.00000072,10
,,-0.00000064,9.6
,,-0.00000056,9.2
,,-0.00000048,8.4
,,-0.0000004,8
,,-0.00000032,7.6
,,-0.00000024,6.8
,,-0.00000016,6.4
,,-0.00000008,6
,,0,5.2
,,0.00000008,4.8
,,0.00000016,3.6
,,0.00000024,3.6
,,0.00000032,2.8
,,0.0000004,1.6
,,0.00000048,1.2
,,0.00000056,0.4
,,0.00000064,0
,,0.00000072,-0.4
,,0.0000008,-1.2
,,0.00000088,-2
,,0.00000096,-2.4
,,0.00000104,-2.4
,,0.00000112,-2.8
,,0.0000012,-3.6
,,0.00000128,-3.2
,,0.00000136,-3.6
,,0.00000144,-4
,,0.00000152,-4
,,0.0000016,-4
,,0.00000168,-4.4
,,0.00000176,-3.6
,,0.00000184,-3.2
,,0.00000192,-3.6
,,0.000002,-3.6
,,0.00000208,-3.2
,,0.00000216,-3.6
,,0.00000224,-3.2
,,0.00000232,-3.2
,,0.0000024,-3.2
,,0.00000248,-2.4
,,0.00000256,-2.8
,,0.00000264,-2.8
,,0.00000272,-2.4
,,0.0000028,-2.8
,,0.00000288,-2
,,0.00000296,-2
,,0.00000304,-2.4
,,0.00000312,-1.6
,,0.0000032,-2
,,0.00000328,-1.6
,,0.00000336,-1.6
,,0.00000344,-2
,,0.00000352,-1.2
,,0.0000036,-1.6
,,0.00000368,-1.2
,,0.00000376,-0.8
,,0.00000384,-1.2
,,0.00000392,-0.8
,,0.000004,-1.2
,,0.00000408,-1.2
,,0.00000416,-1.2
,,0.00000424,-1.2
,,0.00000432,-0.8
,,0.0000044,-0.4
,,0.00000448,-0.4
,,0.00000456,-0.4
,,0.00000464,0
,,0.00000472,-0.4
,,0.0000048,0
,,0.00000488,-0.4
,,0.00000496,-0.4
,,0.00000504,-0.4
,,0.00000512,-0.4
,,0.0000052,-0.4
,,0.00000528,-0.4
,,0.00000536,-0.4
,,0.00000544,-0.4
,,0.00000552,-0.4
,,0.0000056,-0.4
,,0.00000568,-0.4
,,0.00000576,-0.4
,,0.00000584,-0.4
,,0.00000592,-0.4
,,0.000006,-0.4
,,0.00000608,-0.4
,,0.00000616,-0.4
,,0.00000624,-0.4
,,0.00000632,-0.4
,,0.0000064,-0.4
,,0.00000648,-0.4
,,0.00000656,-0.4
,,0.00000664,-0.4
,,0.00000672,-0.4
,,0.0000068,-0.4
,,0.00000688,-0.4
,,0.00000696,-0.4
,,0.00000704,-0.4
,,0.00000712,-0.4
,,0.0000072,-0.4
,,0.00000728,-0.4
,,0.00000736,-0.4
,,0.00000744,-0.4
,,0.00000752,-0.4
,,0.0000076,-0.4
,,0.00000768,-0.4
,,0.00000776,-0.4
,,0.00000784,-0.4
,,0.00000792,-0.4
,,0.000008,-0.4
,,0.00000808,-0.4
,,0.00000816,-0.4
,,0.00000824,-0.4
,,0.00000832,-0.4
,,0.0000084,-0.4
,,0.00000848,-0.4
